# Strom: 4.92 A
# Magnetfeld: -476 mT
# Schnitt bei (722,485)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;372
2;374
3;376
4;383
5;391
6;408
7;425
8;444
9;464
10;483
11;503
12;531
13;560
14;600
15;640
16;742
17;844
18;1019
19;1194
20;1287
21;1380
22;1309
23;1239
24;1101
25;963
26;890
27;818
28;739
29;660
30;641
31;623
32;594
33;566
34;563
35;559
36;523
37;488
38;468
39;448
40;419
41;391
42;381
43;372
44;375
45;378
46;380
47;381
48;396
49;412
50;447
51;482
52;504
53;526
54;542
55;559
56;588
57;617
58;668
59;719
60;847
61;975
62;1171
63;1366
64;1406
65;1446
66;1341
67;1235
68;1119
69;1002
70;902
71;803
72;738
73;674
74;662
75;651
76;631
77;611
78;585
79;559
80;539
81;518
82;486
83;454
84;440
85;426
86;408
87;389
88;393
89;397
90;393
91;390
92;398
93;407
94;423
95;439
96;475
97;511
98;522
99;534
100;559
101;585
102;618
103;650
104;697
105;744
106;843
107;942
108;1144
109;1346
110;1434
111;1522
112;1445
113;1369
114;1253
115;1137
116;1029
117;921
118;814
119;708
120;697
121;685
122;670
123;655
124;631
125;607
126;591
127;576
128;553
129;530
130;494
131;459
132;448
133;438
134;419
135;401
136;401
137;402
138;392
139;383
140;392
141;402
142;416
143;430
144;453
145;476
146;493
147;510
148;546
149;582
150;586
151;591
152;614
153;638
154;698
155;759
156;876
157;992
158;1159
159;1326
160;1440
161;1555
162;1509
163;1464
164;1378
165;1292
166;1158
167;1025
168;932
169;839
170;775
171;712
172;694
173;676
174;670
175;664
176;643
177;623
178;604
179;586
180;558
181;530
182;495
183;461
184;446
185;432
186;420
187;408
188;405
189;402
190;399
191;396
192;402
193;409
194;410
195;411
196;444
197;477
198;483
199;490
200;519
201;549
202;570
203;592
204;608
205;625
206;635
207;644
208;670
209;696
210;781
211;866
212;987
213;1109
214;1292
215;1476
216;1562
217;1648
218;1583
219;1518
220;1421
221;1324
222;1185
223;1047
224;968
225;889
226;822
227;756
228;728
229;700
230;686
231;673
232;660
233;647
234;628
235;608
236;601
237;595
238;547
239;500
240;484
241;469
242;453
243;437
244;429
245;421
246;409
247;398
248;412
249;425
250;408
251;391
252;400
253;409
254;414
255;420
256;437
257;454
258;482
259;511
260;534
261;558
262;571
263;585
264;605
265;625
266;645
267;666
268;671
269;677
270;715
271;753
272;813
273;873
274;993
275;1113
276;1292
277;1471
278;1562
279;1653
280;1640
281;1627
282;1536
283;1446
284;1334
285;1223
286;1111
287;999
288;942
289;886
