# Strom: 0.01 A
# Magnetfeld: -8 mT
# Schnitt bei (722,485)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;380
2;380
3;380
4;372
5;365
6;366
7;367
8;350
9;333
10;323
11;313
12;314
13;316
14;311
15;307
16;310
17;314
18;318
19;322
20;325
21;329
22;324
23;320
24;312
25;305
26;310
27;316
28;326
29;336
30;345
31;354
32;361
33;369
34;392
35;415
36;412
37;409
38;445
39;482
40;538
41;595
42;709
43;824
44;963
45;1103
46;1286
47;1470
48;1535
49;1601
50;1523
51;1445
52;1269
53;1094
54;938
55;782
56;698
57;615
58;565
59;516
60;494
61;473
62;448
63;424
64;423
65;422
66;412
67;402
68;391
69;380
70;373
71;367
72;358
73;349
74;333
75;318
76;325
77;333
78;340
79;347
80;325
81;303
82;306
83;309
84;308
85;307
86;320
87;334
88;345
89;356
90;355
91;354
92;352
93;351
94;352
95;354
96;360
97;367
98;366
99;365
100;353
101;342
102;363
103;385
104;388
105;391
106;407
107;424
108;442
109;460
110;467
111;475
112;528
113;582
114;660
115;739
116;864
117;990
118;1121
119;1252
120;1327
121;1403
122;1446
123;1490
124;1406
125;1323
126;1215
127;1108
128;994
129;881
130;781
131;682
132;636
133;591
134;538
135;486
136;485
137;484
138;461
139;438
140;427
141;416
142;409
143;402
144;389
145;376
146;391
147;407
148;392
149;378
150;381
151;385
152;380
153;376
154;363
155;351
156;359
157;367
158;360
159;354
160;353
161;353
162;353
163;353
164;349
165;345
166;347
167;349
168;347
169;345
170;349
171;354
172;346
173;338
174;346
175;354
176;340
177;327
178;351
179;376
180;365
181;354
182;361
183;369
184;374
185;380
186;390
187;400
188;387
189;374
190;403
191;433
192;430
193;427
194;423
195;420
196;462
197;504
198;513
199;522
200;576
201;631
202;697
203;764
204;831
205;899
206;1029
207;1159
208;1285
209;1412
210;1523
211;1634
212;1702
213;1771
214;1777
215;1783
216;1696
217;1609
218;1532
219;1456
220;1371
221;1286
222;1190
223;1094
224;951
225;808
226;773
227;739
228;699
229;660
230;616
231;573
232;549
233;526
234;503
235;480
236;493
237;507
238;483
239;460
240;440
241;420
242;422
243;424
244;421
245;418
246;412
247;407
248;399
249;391
250;367
251;344
252;343
253;342
254;363
255;384
256;374
257;364
258;354
259;345
260;350
261;356
262;342
263;329
264;338
265;347
266;360
267;373
268;365
269;358
270;355
271;353
272;359
273;365
274;364
275;364
276;359
277;354
278;352
279;351
280;345
281;340
282;358
283;376
284;371
285;367
286;369
287;371
288;373
289;376
290;384
291;393
292;404
293;416
294;398
295;380
296;389
297;398
298;411
299;425
300;427
301;429
302;423
303;418
304;448
305;478
306;463
307;449
308;439
309;429
310;436
311;444
312;428
313;413
314;431
315;449
316;452
317;455
318;468
319;482
320;478
321;475
322;479
323;484
324;499
325;515
326;531
327;547
328;552
329;558
330;588
331;618
332;628
333;638
334;643
335;649
336;684
337;720
338;744
339;768
340;818
341;868
342;920
343;972
344;1023
345;1075
346;1141
347;1208
348;1279
349;1350
350;1439
351;1529
352;1596
353;1663
354;1726
355;1789
356;1840
357;1891
358;1933
359;1975
360;1971
361;1967
362;1990
363;2013
364;2008
365;2004
366;1967
367;1931
368;1920
369;1909
370;1899
371;1889
372;1826
373;1763
374;1708
375;1654
376;1620
377;1587
378;1488
379;1390
380;1345
381;1301
382;1267
383;1234
384;1169
385;1104
386;1068
387;1032
388;994
389;957
390;948
391;939
392;878
393;817
394;808
395;800
396;758
397;717
398;705
399;693
400;691
401;689
402;673
403;657
404;629
405;602
406;594
407;587
408;572
409;557
410;539
411;522
412;516
413;511
414;492
415;473
416;476
417;480
418;467
419;455
420;441
421;427
422;430
423;433
424;434
425;435
426;435
427;435
428;431
429;427
430;429
431;431
432;421
433;411
434;402
435;393
436;381
437;369
438;371
439;373
440;415
441;458
442;428
443;398
444;397
445;396
446;403
447;411
448;406
449;402
450;402
451;402
452;394
453;387
454;395
455;404
456;416
457;429
458;422
459;415
460;412
461;409
462;409
463;409
464;412
465;416
466;418
467;420
468;412
469;405
470;402
471;400
472;404
473;409
474;391
475;373
476;379
477;385
478;390
479;396
480;383
481;371
482;385
483;400
484;398
485;396
486;390
487;385
488;384
489;384
490;384
491;384
492;370
493;356
494;380
495;404
496;397
497;391
498;407
499;424
500;399
501;374
502;393
503;413
504;416
505;420
506;399
507;378
508;384
509;391
510;395
511;400
512;412
513;425
514;431
515;438
516;422
517;407
518;418
519;429
520;416
521;404
522;420
523;436
524;425
525;415
526;416
527;418
528;435
529;453
530;442
531;431
532;434
533;438
534;438
535;438
536;442
537;447
538;448
539;449
540;462
541;475
542;475
543;476
544;489
545;502
546;498
547;495
548;515
549;536
550;530
551;524
552;535
553;547
554;547
555;547
556;590
557;633
558;601
559;569
560;590
561;611
562;589
563;567
564;585
565;604
566;620
567;637
568;651
569;666
570;664
571;662
572;699
573;737
574;729
575;722
576;735
577;748
578;796
579;844
580;847
581;850
582;909
583;968
584;1004
585;1041
586;1102
587;1163
588;1210
589;1257
590;1312
591;1367
592;1406
593;1445
594;1514
595;1583
596;1568
597;1554
598;1645
599;1736
600;1759
601;1782
602;1803
603;1825
604;1818
605;1811
606;1837
607;1864
608;1860
609;1856
610;1793
611;1731
612;1736
613;1742
614;1660
615;1578
616;1533
617;1489
618;1396
619;1303
620;1261
621;1219
622;1123
623;1028
624;1023
625;1019
626;946
627;873
628;824
629;775
630;753
631;731
632;704
633;677
634;641
635;606
636;572
637;538
638;520
639;502
640;488
641;475
642;475
643;475
644;475
645;476
646;461
647;447
648;431
649;415
650;417
651;420
652;408
653;396
654;383
655;371
656;372
657;374
658;379
659;384
660;374
661;364
662;369
663;374
664;362
665;351
666;359
667;367
668;370
669;374
670;356
671;338
672;345
673;353
674;350
675;347
676;350
677;353
678;338
679;324
680;346
681;369
682;371
683;374
684;372
685;371
686;363
687;356
688;366
689;376
690;365
691;354
692;360
693;367
694;364
695;362
696;357
697;353
698;348
699;344
700;333
701;322
702;333
703;344
704;343
705;342
706;336
707;331
708;323
709;316
710;322
711;329
712;326
713;324
714;319
715;314
716;318
717;322
718;330
719;338
720;337
721;336
722;351
723;367
724;374
725;382
726;395
727;409
728;411
729;413
730;433
731;453
732;443
733;433
734;467
735;502
736;503
737;504
738;520
739;536
740;581
741;626
742;708
743;791
744;837
745;884
746;993
747;1103
748;1204
749;1305
750;1416
751;1527
752;1650
753;1774
754;1780
755;1787
756;1766
757;1745
758;1662
759;1580
760;1430
761;1281
762;1169
763;1057
764;934
765;811
766;724
767;637
768;603
769;569
770;539
771;509
772;452
773;395
774;405
775;415
776;405
777;395
778;381
779;367
780;363
781;360
782;358
783;356
784;363
785;371
786;356
787;342
788;338
789;334
790;335
791;336
792;349
793;362
794;332
795;302
796;313
797;325
798;314
799;303
800;305
801;307
802;301
803;296
804;300
805;305
806;309
807;313
808;303
809;293
810;303
811;313
812;316
813;320
814;312
815;305
816;301
817;298
818;311
819;325
820;342
821;360
822;356
823;353
824;363
825;373
826;379
827;385
828;400
829;415
830;428
831;442
832;476
833;511
834;533
835;555
836;605
837;655
838;750
839;846
840;969
841;1092
842;1257
843;1423
844;1618
845;1813
846;1881
847;1949
848;1939
849;1929
850;1777
851;1625
852;1424
853;1223
854;1062
855;901
856;802
857;704
858;622
859;540
860;508
861;476
862;471
863;467
864;431
865;395
866;393
867;391
868;388
869;385
870;371
871;358
872;348
873;338
874;337
875;336
876;328
877;320
878;329
879;338
880;340
881;342
882;339
883;336
884;330
885;325
886;317
887;309
888;311
889;314
890;317
891;320
892;323
893;327
894;327
895;327
896;331
897;336
898;329
899;322
900;333
901;344
902;354
903;365
904;376
905;387
906;401
907;415
908;433
909;451
910;488
911;526
912;600
913;675
914;794
915;913
916;1066
917;1219
918;1219
